PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2011,93,Special K2,Jacaranda Films S.A.,Cine Publicitario,11/3/2011,11/03/2011,25 DE MAYO 450,25 DE MAYO,450,SAN NICOLAS,COMUNA 1,1002,C1002ABJ,"-58,37117447","-34,60255826"
2014,94,Powerade,Landia S.R.L.,Cine Publicitario,30/8/2014,30/08/2014,25 DE MAYO 455,25 DE MAYO,455,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110619","-34,60251061"
2011,95,Ciel,Landia S.R.L.,Cine Publicitario,19/8/2011,19/08/2011,25 DE MAYO 456,25 DE MAYO,456,SAN NICOLAS,COMUNA 1,1002,C1002ABJ,"-58,3711806","-34,60247608"
2011,96,Morhp Disco,Fight By Flehner Sa,Cine Publicitario,16/5/2011,16/05/2011,25 DE MAYO 456,25 DE MAYO,456,SAN NICOLAS,COMUNA 1,1002,C1002ABJ,"-58,3711806","-34,60247608"
2011,97,Yoplait,Rebolucion S.A.,Cine Publicitario,21/5/2011,21/05/2011,25 DE MAYO 456,25 DE MAYO,456,SAN NICOLAS,COMUNA 1,1002,C1002ABJ,"-58,3711806","-34,60247608"
2012,98,Bhg Microondas,Primo Audiovisual S.R.L.,Cine Publicitario,3/11/2012,03/11/2012,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2013,99,Citi,Daniela Barbara Benitez,Fotografia,24/8/2013,24/08/2013,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2011,100,Institucional E!,Lefal Srl,Institucionales,16/9/2011,16/09/2011,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2013,101,Muerte En Buenos Aires,Utopica Group Srl,Largometraje Nacional,21/1/2013,21/01/2013,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2014,102,Rosseta Stone,23 S.A.,Cine Publicitario,1/8/2014,01/08/2014,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2015,103,Run Away,Jacaranda Films S.A.,Video Clip,20/2/2015,20/02/2015,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2012,104,Septimo,Capital Intelectual S.A.,Largometraje,23/11/2012,23/11/2012,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2011,105,Testamento,Primo Audiovisual S.R.L.,Cine Publicitario,18/9/2011,18/09/2011,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
2011,106,The Cleaner,48m2 S.A.,Cine Publicitario,13/1/2011,13/01/2011,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37110903","-34,60247249"
